Frame,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20
23,0.5944974983436522,0.49734265575776804,0.36597065621432545,0.7242881297098771,0.73997878284632,0.7499778545486757,0.6163258152501342,0.6274966001998918,0.4532289353240283,0.7704504135129449,0.64075246887076,0.6958101752885848,0.6551713154178567,0.7020724704291277,0.6729857069745111,0.8200284315274049,0.6685831298731983,0.7080374477348725,0.6123299301901428,0.809265333067871,0.5273681957920779
24,0.7394646262616866,0.5961063666167483,0.4981106543042104,0.3648238689076969,0.7288971145900545,0.742850556099097,0.7535571838307789,0.6165697609906571,0.6277856463142054,0.4874977283174583,0.7735440086919965,0.6409842393402161,0.6928589655191135,0.6546085552865214,0.701907990211041,0.6697854371637408,0.8202735188845558,0.6655577236812642,0.7044370343188091,0.6079341588322349,0.8065992498188483
25,0.4847079371240054,0.7184969871576389,0.5621968343119734,0.45432237744989534,0.3078640831509023,0.7102010814043306,0.7259112691296954,0.736653312788906,0.5840835521895804,0.5976881426050982,0.4439005516440869,0.7575543064195858,0.6092889963145551,0.668714180924721,0.6235748197435563,0.6707491517809645,0.6414055461007108,0.8038642340662121,0.6312697722007268,0.6748861445041645,0.5697460369571334
26,0.6367414891784833,0.5544530218153664,0.7589136916571247,0.6184715172024817,0.5220844200181332,0.39415880202178244,0.7483493430495749,0.7620682468821639,0.7761537162438235,0.6356248508126641,0.6478574825960999,0.4741672731943315,0.7876453449520194,0.6617674379103702,0.7064092664092665,0.6666455177518704,0.7100092311749967,0.6797665123440515,0.8255952976619984,0.673112605059685,0.7139014344701985
27,0.7221870590489684,0.645202492391073,0.5594014112695708,0.7631196374105641,0.6235780003625816,0.5280152320186917,0.39735719662122604,0.7535344459419735,0.7671537834203972,0.7761000412257799,0.6412385843194702,0.6485771228803868,0.4764515955443147,0.7891371564624384,0.6564051051760813,0.7063283662236541,0.6661868662636343,0.7120343230958752,0.678778497643592,0.8246738396242973,0.6708292424041395
28,0.5698154219140945,0.7176378832820551,0.6331407114817253,0.5980533777565499,0.7540504036776151,0.607122032736825,0.564728298496873,0.4312943715567672,0.7930896078420289,0.8059295556204904,0.8184383924529567,0.6735401693509327,0.6832315395773012,0.45221396122009816,0.8264455997274216,0.693653345582606,0.6885962908825142,0.6942118953419747,0.6895832861253994,0.7064544457838554,0.8548732283636522
29,0.5674099890716838,0.5862018352932887,0.7248159633929492,0.6485973132647069,0.6094936017881667,0.7675840432435007,0.6210936806537704,0.5781454414219336,0.44533893557422966,0.8023673983708106,0.8130697400708393,0.8219687110618856,0.6849726371026617,0.69197151625956,0.4628724152482768,0.8330047200812571,0.6957107250878327,0.6935355237928245,0.7010850466834984,0.6966837920969033,0.7107845522521208
30,0.5760475185583431,0.5467089411724307,0.5659713338677674,0.7462791303068373,0.6736595823281484,0.5869767649338411,0.7879784937883891,0.6501272896958853,0.5572233261622846,0.4291694756757932,0.773194646304692,0.7844165938016128,0.7929236900210027,0.6574019096525716,0.6634295717719615,0.49479852549965364,0.7978567975220882,0.6653033943888349,0.7134068990408857,0.6721781979719534,0.7154970498602565
31,0.7288067096955569,0.5622993942611676,0.5897147601667503,0.6061531221844101,0.7404806704931948,0.6617573566158097,0.6292857985274544,0.7832902730256267,0.6383045271303461,0.5965706462333418,0.46466737690694027,0.8133843275007386,0.82296267216279,0.8303110501208913,0.6928178469228231,0.6983154587801972,0.4686679424985536,0.8361652243426383,0.6993648970037956,0.6977442012505518,0.7041223937583889
32,0.5940663958537611,0.7132143075716185,0.6072401583922524,0.5773771573046059,0.5959405664859198,0.7693708186368553,0.6974666365075775,0.6157984706317352,0.808550592427807,0.675301905738467,0.5842179927328723,0.4594819902479945,0.7897203602848764,0.7995002112885471,0.8063549473113685,0.6737860656035077,0.677656800307523,0.5135296111071175,0.8066962280805902,0.6772175724665708,0.7224848250032287
33,0.5905413286075835,0.5981824631340686,0.7157569342943064,0.6094669959213118,0.5808951892692198,0.5982992842271796,0.7740903158159169,0.7019381648576406,0.6173424808258632,0.8121532435477813,0.6770539758598008,0.5859478216576731,0.45851664457249086,0.7900972534608928,0.8004353335191037,0.8069288724032491,0.6700256638558635,0.6750832655844325,0.5090480141034948,0.8055145890114701,0.674493079638829
34,0.7031574978792925,0.5422412786549214,0.5462624590089711,0.7359680043383948,0.5596080427589718,0.5891676874007058,0.603208970117751,0.7492286938382943,0.7528851935797215,0.6285741292121556,0.7868999716982292,0.6360219292616294,0.5889642721952072,0.4479783366288408,0.8136779347071081,0.8236179687139495,0.8278047737633688,0.6760396975425331,0.6841371443057228,0.4414944930075103,0.8283189684735146
35,0.5386705500008879,0.6981421250906709,0.598983384028428,0.6002184598580012,0.723766624756324,0.6158122121459431,0.5873489871922972,0.603475459862677,0.7847079896458592,0.7126390192169949,0.6249418540259165,0.8206945350418468,0.682241138188105,0.587063479915156,0.4507587336244542,0.7951492760967529,0.8052445028252574,0.809562112425746,0.6709888387428047,0.67328693180277,0.494819378325399
36,0.7112941133821922,0.5734010665575231,0.735825508142161,0.5772124929185448,0.5801500451610129,0.7622941703300885,0.5959077277691626,0.6197915162715486,0.632790172397898,0.7790110104430772,0.7224658196381715,0.655920099649985,0.8094683695378729,0.6644202734081743,0.614853195164076,0.4741534862998441,0.825732690821981,0.8342305581274152,0.8422069225064477,0.6944230886232778,0.6979408207870591
37,0.5292762118208201,0.6996175647066858,0.5684065341521836,0.7148753573502794,0.6255469726736917,0.62764054585676,0.7467153284671533,0.6399576459486594,0.6113390403662408,0.627582608128455,0.8016165894932489,0.7278012259804894,0.6412180620279608,0.8290132413807874,0.6970757057814979,0.601128331839849,0.4689457271586571,0.7997074473723262,0.8088121087249386,0.8124093694761688,0.6740375227590574
38,0.7287913045526273,0.5344777456008746,0.6978176167725776,0.5672817281728173,0.7200518824531029,0.6251439528458698,0.6269147971901201,0.7466744693781089,0.6403626576318033,0.6105852767615759,0.6260087554445157,0.8049427947741956,0.7270088445358664,0.6385153366875808,0.8314427633332789,0.6922099294478028,0.5949932970074381,0.4607880694295319,0.7960707099119372,0.8046913353797683,0.8116521598534048
39,0.5663108075082111,0.7347526471407324,0.5351979628716939,0.7027372550393163,0.5694126953658948,0.7184587274787797,0.6292524389408028,0.630201407397684,0.7514249453251595,0.6441273350654015,0.613034965034965,0.6254047656267447,0.8037487442206397,0.7525050370826514,0.6391749174917492,0.8311268117138235,0.6923562093116366,0.5924152743847453,0.456332664018508,0.796415531603227,0.8040428840330632
40,0.6955417736610419,0.5914717393282971,0.7506229329950618,0.558603421269811,0.7203372805500061,0.5915057055385472,0.7354081085414467,0.6483232124295639,0.6489959048884368,0.7651386008534294,0.6618135253068186,0.6300498538765686,0.6451430007969747,0.8146588216501158,0.7422165623943185,0.6546236968428176,0.840419855998056,0.704203348322672,0.6084501117391876,0.4769280057141657,0.803385190449867
41,0.5453881102638765,0.7097825352873641,0.6043212192131328,0.7615466042676472,0.5749571240287421,0.7325757492619865,0.6054357705237569,0.7471833130328867,0.6605620682042141,0.6623327042097509,0.7743114063945993,0.6717804266064049,0.6404190855544727,0.654597070370214,0.8202275560605343,0.745988731303852,0.6612592178362191,0.8451111644858447,0.7089087604203664,0.6134485720979876,0.4837966813607253
42,0.5817292968705693,0.5554411433715958,0.715912783336508,0.6113627626322564,0.7675184667598323,0.5797346027837024,0.7384794388847616,0.6120070854339829,0.7527330023228489,0.6671722179050885,0.6675202502892899,0.7797557221005982,0.6776536460396694,0.6456093686504858,0.6588630170137099,0.8236766040487444,0.7493659656629964,0.6642815047381625,0.8464551937111052,0.7103376298074414,0.6156309791198735
43,0.685641771499099,0.584882130501247,0.5563858269065003,0.7176493348355013,0.6138773250789382,0.7728358158638475,0.5787751546691087,0.7417446035193476,0.6118447268219251,0.7559999121294334,0.6676098490001361,0.6679485645282361,0.7820327032054333,0.6782150345056865,0.6459901125328734,0.6557648242927812,0.8260360072440609,0.7493503325236797,0.6613976440624005,0.843600659890373,0.7066887800936631
44,0.7215482380127094,0.6961753084012456,0.5904063888857153,0.5641124439735039,0.7263521133113808,0.6211577495430232,0.7781200989010375,0.5889415097262487,0.7489502033637463,0.6215310532435337,0.7615792890144717,0.6745316652622027,0.6746435515230071,0.7876206944698035,0.6818659651332184,0.6495409811594357,0.6608456371552358,0.8270673498101888,0.7536993091810368,0.6618123491297168,0.8443908003289387
45,0.6879721664225633,0.736139724396832,0.7027101200686106,0.6005125058239298,0.5724669578663416,0.7343233304325857,0.6308171154135779,0.7860746552279774,0.6004024012138004,0.7549504814833083,0.625721672637241,0.7721407863007017,0.6781869107432932,0.6779769871767195,0.7908901136052633,0.6824567309490603,0.6491423015487187,0.6602851671476351,0.8312641143353937,0.7513471738463005,0.6604255364328411
46,0.5804959352358924,0.7001100793135566,0.7415629554882834,0.7137301290599769,0.6151881340624878,0.5861193001790881,0.7458169075777485,0.6443510773199523,0.7951775204101006,0.6087410967317867,0.764984455015866,0.640281005422443,0.7752975161326361,0.6881926998670016,0.6910001421778487,0.7986272544564379,0.6948649466359245,0.6614881225733729,0.6699155329567641,0.832967055858183,0.7531572426573936
47,0.5749066397898012,0.5917881736398195,0.7046647900270007,0.7500711188994208,0.714967210128427,0.6128369661166565,0.5877278591059509,0.746323221143365,0.6412851843406395,0.7982536180190344,0.6103730185275555,0.7650350261740052,0.6365676286565991,0.7818044259504445,0.6850469306289784,0.6858441187410047,0.7965704038956088,0.6914418257438413,0.6553715476254074,0.663782136939441,0.834563571143882
48,0.5482638997406006,0.5556526698156482,0.5640223134561924,0.7404015477669869,0.7335086245724233,0.7522740118755572,0.5956631809353146,0.6206274730512786,0.7859312203142126,0.6281996863688349,0.7906535133101308,0.6556746419994663,0.8017571411804814,0.6692839020464731,0.8154666932588751,0.6704426360007559,0.6678466719833843,0.8314181722215502,0.6711888874995737,0.6842128338201687,0.689573094978946
49,0.6872116037256948,0.5985147339746126,0.602048099999438,0.6112881429453277,0.7224930168374899,0.7599073540493816,0.73349129380648,0.6366062979635818,0.6087301630449555,0.7648067323241337,0.6640152737442186,0.8116641263980422,0.6288385365645897,0.7794738517025565,0.6542914700736893,0.7892551956957485,0.7000041955988168,0.6982855942660611,0.8043809613601722,0.6977359554080291,0.660468550363404
50,0.5785121560634736,0.7302616346376476,0.5842048710601719,0.5877761553711551,0.5973498347316076,0.7613707129836162,0.7554994653906154,0.7730964410140365,0.6236681404181145,0.6468733955691486,0.8014938362729005,0.6499298291467566,0.8071821765132294,0.6673111926070354,0.8148220201135915,0.6851954037912231,0.826437102295286,0.6843802198655946,0.6812592118801969,0.837574034082405,0.6820826800344499
51,0.5308958856186783,0.5548158373596035,0.7224525053911119,0.5555814194082351,0.5593364142975594,0.5685472846233571,0.7524539783964704,0.7398218668555958,0.7619174000373974,0.6031087760748594,0.628633423644006,0.7937949076101753,0.6268910346858398,0.7958830366428091,0.6575154585112575,0.8085010174089984,0.6679004526464418,0.8174385191510969,0.661475380354638,0.6586923095403983,0.8277235472879639
52,0.6938769677500486,0.5542363216521853,0.570843157067475,0.7136644989422549,0.62363493889528,0.6289511593378997,0.6359524382506727,0.7437798269693334,0.7837815775438902,0.7576238159675237,0.6593640946103141,0.630526219907519,0.7828075549839091,0.6822469618424407,0.8264654056004925,0.6428454602531433,0.7910364528806141,0.6667437971328503,0.7965389784946236,0.707604201470097,0.7038091847632609
53,0.5402758661082965,0.6981287965182582,0.5544371653217226,0.571997690861183,0.7127040226926993,0.6205854794287174,0.6260692556232836,0.6351078430278618,0.7445102413983996,0.7890360298514073,0.7589142749870248,0.6580810023630268,0.6271850611324554,0.7832601423138532,0.6790307083493923,0.826894610992729,0.6375116023053511,0.7901838511987959,0.6603139556800129,0.7970406336752521,0.7019672832246338
54,0.5493266636275149,0.5310041168302843,0.6932828588734101,0.5427998203323852,0.5597331824543641,0.7102345643804363,0.6133507281625039,0.6170847075669903,0.627638042324667,0.7421015326338295,0.7861158795810915,0.7532811870938056,0.650527097677342,0.61785883009181,0.777928505749736,0.6688123992420172,0.8226312309631044,0.6265940832125482,0.7858908952585532,0.6465300615566236,0.7899891551043682
55,0.5808694422512639,0.5766160064387642,0.5518517869758914,0.7065531370782598,0.5647006840196483,0.5802703181119987,0.7262227835714327,0.6329536327952672,0.6387875181063813,0.6435162483840771,0.7571266376517993,0.7952124860844184,0.767750256291544,0.6668916101564729,0.6344505407342169,0.7903780068728522,0.685077682503652,0.8320404318960323,0.639585498960499,0.792147806004619,0.6602647358053553
56,0.7006912712360867,0.5785405911300305,0.5708424095047879,0.6080767045943574,0.7588708432660481,0.6124777426196228,0.6302521008403361,0.7754920150897706,0.6336034144733418,0.6369967393367109,0.6437261729056376,0.8050893934408249,0.797663252059252,0.8117455440798361,0.6634219899058669,0.6813741636922279,0.8323498504567133,0.6792583375646555,0.8310582202279758,0.6865085513696617,0.8308351980129118
57,0.5363161622035548,0.6773988997366451,0.6065165614110879,0.6028308515219509,0.5796658447889576,0.7280898498390733,0.5904059040590406,0.6048574375720535,0.7466617597785309,0.6583712381513357,0.6626884762555147,0.6687498992417606,0.7732341606704934,0.8106985073346487,0.7836537948263529,0.6836414741784538,0.6499202467035304,0.8003295870623831,0.69734372935113,0.839262856115184,0.6509235260271224
58,0.5744591741171406,0.5425758704958663,0.7128479717417511,0.6149320545386201,0.6052579065299071,0.5835464379469539,0.7359264776144572,0.5968174921215422,0.6144826405948958,0.7503507628401295,0.6604365987671601,0.6633759596378765,0.6681712762268077,0.7750757238549142,0.815207785489503,0.7834387015476741,0.6819324751241108,0.6491701155833851,0.7989908340333999,0.6929767817333241,0.8350972662610335
59,0.5722786934931108,0.5710726493669058,0.5875370234582942,0.7286230659509993,0.6115325446925892,0.5984648227982093,0.6332929816165085,0.7844958291139594,0.6382622527753676,0.6571661911830438,0.7937735890701216,0.6535677470427765,0.6552985201564892,0.6621313409359024,0.8172665382841954,0.8133557718649886,0.8211398359318886,0.672921563482271,0.6895316346396221,0.8362584398716173,0.6822465783910092
60,0.5386861772279092,0.512349121372097,0.5663403688726698,0.5267555959717605,0.6731600276278553,0.6070391324562092,0.5967138392344382,0.573679760626975,0.7308407082290092,0.5831621085447074,0.596794407865704,0.7527776481023295,0.652647014326114,0.6560386473429951,0.6602998857195362,0.7703813517769689,0.8077363122581684,0.7778706736605814,0.6735053155729767,0.6307796982292839,0.7902009691725504
61,0.7214803125315172,0.5773283111113723,0.5436026149894934,0.6021142015423273,0.563016826784458,0.7280864804155552,0.6301536320020081,0.6267928711520423,0.6043491511648907,0.7519987846938948,0.6105124747885582,0.6245124204475467,0.7660768592756428,0.6749898274515842,0.6768518315780254,0.6827800300667003,0.787252706538736,0.8198678308583374,0.7884246296044584,0.6869705198458511,0.652261491561033
62,0.6725099601593625,0.7393725698826752,0.5983529147225815,0.5671864187333973,0.620504134701604,0.5837668864808739,0.7139233401930252,0.648593423043932,0.6444267663421039,0.6222725033696188,0.7645954692556635,0.6261597186159933,0.6389422358790517,0.7757951900698216,0.6878102679869522,0.6876387080449349,0.6933701368631264,0.7947693292008202,0.8249930504927594,0.7947593678133824,0.694141293594837
63,0.6776106085598728,0.6798715637805224,0.74266501545121,0.5942633817917709,0.5646242959476289,0.6170172930283224,0.5799334548047215,0.7191874982465001,0.6554062692822955,0.6440071556350626,0.6199025817498711,0.7698288242188145,0.6293223891023403,0.6429091699733652,0.7765236406362193,0.6874898614670863,0.6867418542310535,0.6900836409814017,0.7914238000323224,0.8280138991666934,0.7931188273097549
64,0.5305573239192083,0.6928025733815842,0.686084031501819,0.7505789967849319,0.6079361668438553,0.5777051092925293,0.6308467898995069,0.5959350675271107,0.7271045890199196,0.6600670570094329,0.6542749910966221,0.631568631721074,0.7742733725498708,0.6360143153136184,0.6475160363938914,0.7842520359134054,0.695087205432033,0.6940125615056802,0.6990985291791871,0.7976073635905462,0.8282879728367553
65,0.5382168938090144,0.5348904585040242,0.6955860758400276,0.6896749018755222,0.7526685922391059,0.6122057274858171,0.5802851584900992,0.6368294840622931,0.5975766405498435,0.7263802795797979,0.662971150779248,0.656121725655693,0.6347093733635887,0.776183425510604,0.6344148852710914,0.6463692274492878,0.7839468335645385,0.6938310071792236,0.6917821766300135,0.6951308236018842,0.795835468443078
66,0.735462876246251,0.5800853334587085,0.5794650893660795,0.7398896364048682,0.7327186009538951,0.7498083143644423,0.5958694847895358,0.6214145338468005,0.6232644173359245,0.6363130031673877,0.7942648592283629,0.6487754310170091,0.6432621121314924,0.6683426267906287,0.8127705627705628,0.6695715124027224,0.6818238976517865,0.8215069694477277,0.6775734712778694,0.6761024542816083,0.6783273199919324
67,0.6993832755484284,0.6826315690230611,0.5187288658060418,0.5144272553450373,0.6851778680528974,0.6861089090798219,0.7514071980311411,0.5945801596212787,0.5668569783620401,0.619262661814711,0.5794245101073835,0.7235176942764764,0.659553100677881,0.6401059602649006,0.6166103754952259,0.7699898697034269,0.6194431439190322,0.632312860493123,0.774600155615112,0.6728772267305576,0.6704930383423146
68,0.5410896293249234,0.7395436830324171,0.7227885972339825,0.5727423108195251,0.5680512433218652,0.7239846411166864,0.7172248010610079,0.7800407331975561,0.6404166986164816,0.6091881481159074,0.6624168454646411,0.6262348535393754,0.7492136208926814,0.6846766482738729,0.6781694462975316,0.6567348518178879,0.7919621373527946,0.6533146404966954,0.6626162861098972,0.7952910639505252,0.7052890258215962
69,0.5415616540651544,0.5361907580531908,0.7388008071490343,0.7170789759628375,0.566391259971376,0.5660086313962787,0.7249234475615797,0.7174824861541218,0.7826682784707173,0.6382791971512536,0.611059776032385,0.6598825125254337,0.6230953589814981,0.750343025155178,0.683030273485107,0.6756878225225664,0.648347850504636,0.7865882289445989,0.6493214606789675,0.6572050882741718,0.7919312882911274
70,0.5400630987340027,0.5666588932559026,0.5579873300703821,0.7473359888332822,0.7308667861611824,0.5833286750813331,0.5792058510371432,0.7341545687683131,0.7334718445750372,0.7908524683641468,0.6495114647314695,0.6218542902932387,0.6666072903340728,0.6339842238748227,0.7595156450921561,0.6975507384975029,0.6820280931306524,0.6593964188937889,0.7970886915020549,0.6608767968334676,0.6704374612319564
71,0.5557979396024235,0.5272778151550694,0.5529377064653138,0.5442432082794308,0.7425887964099642,0.7270841587619736,0.5726268779322354,0.5742632274372379,0.7314703628732517,0.7316266473684507,0.7868335356790306,0.6401144738107223,0.6129091835078548,0.6603361297695031,0.6239708702782334,0.780728536798321,0.6879154377778756,0.6733839526176953,0.6476476256022023,0.7897670736601375,0.6469415510997745
72,0.5925501848769534,0.60071896689987,0.5648221409482497,0.5839418468361883,0.5768933475865472,0.7680458993527014,0.7510944950151712,0.6051337889993316,0.6038995181938169,0.7533222812731547,0.7458761108900385,0.8052114300223226,0.6678099358889797,0.6395812066483444,0.6889147500272754,0.6529744821967004,0.7701589872997082,0.704034064745782,0.6970477490897053,0.6711965631237203,0.8004825451934056
73,0.7043524348348041,0.5218944243436312,0.5330247661195817,0.5568699158990287,0.578914294602582,0.5789288860686188,0.7309501895487517,0.7669315519340295,0.6069748836307215,0.6152381522617729,0.7698250247606471,0.7688057167954607,0.7801995651931546,0.6197950111138553,0.6431697873765474,0.6393824980208269,0.6488505343082115,0.7811529127636376,0.6661910610220103,0.647807552135446,0.6748455949663379
74,0.520681558191342,0.6897414412257601,0.5786613714462372,0.5877536615493206,0.552727849253372,0.5706708615003158,0.5636034378348163,0.7639770638744428,0.7466922416722828,0.5919038264385657,0.5900956116695268,0.7476734036885478,0.7395875637380984,0.8033614106461529,0.6576769414388417,0.6317833537399513,0.6793595464097204,0.6369981487110055,0.784750297103848,0.6905443020531901,0.682678263361829
75,0.5878518689432395,0.5845530429152793,0.7431184729234387,0.5816762716707944,0.5869954230031005,0.609321390961693,0.6289429246876055,0.6234433793227021,0.767984265399544,0.7980102151163758,0.6515651829348831,0.658834028983299,0.7972953775543656,0.7974513966540803,0.8052966256822137,0.6600731942791711,0.6757133402564419,0.6707020173039104,0.6818447513071457,0.8025461981461702,0.689483940256203
76,0.529315474412436,0.5470974808324206,0.5384834055859569,0.7024441456106825,0.5932083252786906,0.5965165472733516,0.5686010338726278,0.588295841383752,0.5794905313128881,0.7750094332071761,0.7594222139011342,0.6111642294713161,0.6157743087872218,0.7589055644056901,0.7614198637504481,0.8117550394999085,0.6659552056769042,0.6364965670402885,0.6774076477251482,0.6418898915582065,0.7888663433747585
77,0.7144200531249045,0.5903598374927452,0.6064013098011827,0.5950342169342089,0.7549152542372881,0.5942800508017899,0.5992427543485686,0.6222530571725102,0.6398045712360307,0.6346958265152827,0.7784886346530182,0.8076686725977269,0.6606270168051058,0.6677067761137234,0.8066566288064766,0.8061332412393831,0.8133850597688076,0.6654146119286328,0.6833648037269553,0.6749128647392645,0.6857912479636111
78,0.6643729325764691,0.6922629711002197,0.5526239880002308,0.5664669596828332,0.564771437808643,0.7368078010997982,0.5574619469258892,0.5682484307724232,0.590980418912465,0.6116397678706884,0.6086764975830631,0.7617919407369564,0.7931613735681854,0.6287080470901553,0.6386022738129359,0.7912620777290273,0.7893725650650205,0.7943545876757188,0.6324305529684958,0.6516908498667456,0.6467898085256785
79,0.6503665979818962,0.7299946017841938,0.7518065084137611,0.5818846001496413,0.5835736766495959,0.5901739528995787,0.741371158392435,0.6414764448761534,0.6416534112892824,0.614442371132367,0.6305251046693726,0.6219661225877753,0.8053126834764119,0.7860276052595506,0.6417482308068152,0.6409052650289364,0.7835363948766011,0.7740408078500597,0.8308184182980796,0.6929478642532529,0.6624267808293278
